,ROS Reality,TeleXR-OP
Object Pickup,18.80412436,11.72130299
Item Packing,27.935815339,21.21444488
Item Stacking,47.89134,35.998142
Hand Shaking,10.01393366,10.27915311
Tracing,50.135124,39.075668
