,ROS Reality,TeleXR-OP
Car Reaching,24.4181231,22.707494
Truck Loading,28.90341,26.7406
Collision Avoidance,58.9012,50.3513
Human-Robot Game,17.41389,16.6439
Ball Catching,,2.57412
