,ROS Reality,TeleXR-OP
Object Pickup,3.43112,1.5241123
Item Packing,5.41321,5.192340
Item Stacking,15.84931,18.94329
Hand Shaking,3.02112,1.8932
Tracing,12.43121,10.0734
